"Title","Path","Visits","Visitors"
"常见问题清单","article-list.md","9","0"
"联系我们","contact.md","1","0"
"未签约学员数据导入模板","data-template.md","2","0"
"系统百问","kami100.md","3","0"
"打印控件","printer.md","4","0"
"系统开通后服务流程","process.md","2","0"
"会员卡管理-卡米智慧校区","合同管理/会员卡管理.md","8","0"
"合同审核-卡米智慧校区","合同管理/合同审核.md","13","0"
"签订合同-卡米智慧校区","合同管理/签订合同.md","9","0"
"订金管理-卡米智慧校区","合同管理/订金管理.md","6","0"
"课时管理-卡米智慧校区","合同管理/课时管理.md","20","0"
"名单分配-卡米智慧校区","名单的录入与分配/名单分配.md","20","0"
"名单导入-卡米智慧校区","名单的录入与分配/名单录入.md","60","0"
"合同信息设置-卡米智慧校区","基础数据设置/合同信息设置.md","21","0"
"基础信息设置-卡米智慧校区","基础数据设置/基础信息设置.md","16","0"
"学员信息设置-卡米智慧校区","基础数据设置/学员信息设置.md","21","0"
"教务信息设置-卡米智慧校区","基础数据设置/教务信息设置.md","26","0"
"学员跟进-卡米智慧校区","学员跟进/学员跟进.md","1","0"
"微信服务号-卡米智慧校区","应用市场/微信服务号-家校互联.md","1","0"
"微信服务号应用开通-卡米智慧校区","应用市场/微信服务号-开通及设置.md","1","0"
"会员排课为什么会是体验-卡米智慧校区","注册开通与实施/会员排课为什么会是体验？.md","1","0"
"卡米智慧校区早教管理系统更新了，为什么我没有更新后的菜单？","注册开通与实施/卡米智慧校区早教管理系统更新了，为什么我没有更新后的菜单？.md","1","0"
"卡米智慧校区所使用和匹配的外设","注册开通与实施/卡米智慧校区的硬件外设有哪些？.md","6","0"
"卡米智慧校区所使用帮助汇总","注册开通与实施/卡米智慧校区运营实施常用帮助汇总.md","1","0"
"卡米智慧校区如何新增添加活动","活动管理/新增活动.md","1","0"
"卡米智慧校区日志查看","系统管理/日志查看.md","1","0"
"卡米智慧校区用户管理","系统管理/用户管理.md","1","0"
"★★按不同角色演示操作的视频介绍-卡米智慧校区","视频库/按不同角色演示操作的视频介绍-卡米智慧校区.md","4","0"
