"Title","Path","Visits","Visitors"
"常见问题清单","article-list.md","9","0"
"联系我们","contact.md","1","0"
"未签约学员数据导入模板","data-template.md","2","0"
"系统百问","kami100.md","2","0"
"打印控件","printer.md","2","0"
"系统开通后服务流程","process.md","2","0"
"会员卡管理","合同管理/会员卡管理.md","6","0"
"合同审核","合同管理/合同审核.md","3","0"
"签订合同","合同管理/签订合同.md","8","0"
"订金管理","合同管理/订金管理.md","2","0"
"课时管理","合同管理/课时管理.md","14","0"
"名单分配","名单的录入与分配/名单分配.md","12","0"
"名单录入","名单的录入与分配/名单录入.md","30","0"
"合同信息设置","基础数据设置/合同信息设置.md","9","0"
"基础信息设置","基础数据设置/基础信息设置.md","7","0"
"学员信息设置","基础数据设置/学员信息设置.md","10","0"
"教务信息设置","基础数据设置/教务信息设置.md","12","0"
"学员查询","学员跟进/学员查询.md","3","0"
"学员跟进","学员跟进/学员跟进.md","8","0"
"微信服务号-家校互联","应用市场/微信服务号-家校互联.md","10","0"
"排课管理","教学管理/排课管理.md","2","0"
"新签约学员排课","教学管理/新签约学员排课.md","2","0"
"日常教务","教学管理/日常教务.md","4","0"
"查看课程表","教学管理/查看课程表.md","4","0"
"卡米智慧校区早教管理软件的签到管理","教学管理/签到管理.md","23","0"
"卡米智慧校区更新记录","更新记录/卡米智慧校区更新记录.md","4","0"
"会员排课为什么会是体验？","注册开通与实施/会员排课为什么会是体验？.md","4","0"
"卡米智慧校区开通及实话步骤","注册开通与实施/卡米智慧校区开通及实话步骤.md","6","0"
"卡米智慧校区早教管理系统更新了，为什么我没有更新后的菜单？","注册开通与实施/卡米智慧校区早教管理系统更新了，为什么我没有更新后的菜单？.md","7","0"
"卡米智慧校区所使用和匹配的外设","注册开通与实施/卡米智慧校区的硬件外设有哪些？.md","36","0"
"卡米智慧校区运营实施学见问题汇总","注册开通与实施/卡米智慧校区运营实施学见问题汇总.md","24","0"
"如何开通卡米智慧校区运营平台？","注册开通与实施/如何开通卡米智慧校区运营平台？.md","9","0"
"如何进行远程协助","注册开通与实施/如何进行远程协助.md","3","0"
